player_name,player_id,total_pitches,ba,slg,woba,obp,hrs,doubles,triples,hits,abs,Team,Pos,Age,G,R,RBI,SB,CS,BB,SO,SH,SF,HBP,OPS
Kyle Manzardo,700932,2025,0.234,0.455,0.329,0.313,27,19,2,110,470,CLE,1B,25,142,47,70,2,0,48,135,0,5,8,0.768
Josh Bell,605137,2103,0.237,0.417,0.324,0.325,22,16,1,111,468,WSH,1B,33,140,54,63,0,3,57,88,0,3,5,0.742
Ben Rice,700250,2048,0.255,0.499,0.358,0.337,26,28,4,119,467,NYY,C,26,138,74,65,3,2,50,100,0,2,9,0.836
Alec Bohm,664761,1802,0.287,0.409,0.322,0.331,11,18,3,133,464,PHI,3B,29,120,53,59,2,0,29,82,0,6,5,0.74
Jazz Chisholm Jr.,665862,2143,0.242,0.481,0.349,0.332,31,15,1,112,462,NYY,2B,27,130,75,80,31,8,58,148,1,4,6,0.813
Addison Barger,680718,1967,0.243,0.454,0.322,0.301,21,32,1,112,460,TOR,OF,26,135,61,74,4,1,36,121,0,2,3,0.755
Brendan Donovan,680977,1933,0.287,0.422,0.337,0.353,10,32,0,132,460,STL,2B,28,118,64,50,3,3,42,67,2,4,7,0.775
Mike Trout,545361,2511,0.232,0.439,0.343,0.359,26,14,1,106,456,LAA,OF,34,130,73,64,2,0,87,178,0,6,6,0.798
Matt Chapman,656305,2213,0.231,0.43,0.336,0.34,21,23,2,105,454,SF,3B,32,128,76,61,9,4,71,126,0,4,6,0.77
Zach McKinstry,656716,2037,0.259,0.438,0.333,0.333,12,23,11,117,452,DET,SS,30,144,68,49,19,5,46,111,1,5,7,0.771
Alejandro Kirk,672386,1985,0.282,0.421,0.334,0.348,15,18,0,127,451,TOR,C,27,130,45,76,1,0,48,59,0,6,1,0.769
Chase Meidroth,805367,2057,0.253,0.32,0.294,0.329,5,15,0,114,450,CWS,SS,24,122,54,23,14,4,45,72,3,1,6,0.649
Angel Martínez,682657,1800,0.224,0.359,0.274,0.269,11,23,2,100,446,CLE,OF,23,139,56,45,8,2,23,110,5,4,6,0.628
Gavin Lux,666158,2052,0.269,0.374,0.322,0.35,5,28,2,120,446,CIN,OF,28,140,49,53,1,0,56,114,0,1,0,0.724
Caleb Durbin,702332,1840,0.256,0.387,0.319,0.334,11,25,0,114,445,MIL,3B,25,136,60,53,18,6,30,50,3,4,24,0.721
Cam Smith,701358,2025,0.236,0.358,0.298,0.312,9,21,3,104,441,HOU,OF,22,134,55,51,8,1,43,137,0,2,7,0.67
Jackson Merrill,701538,1708,0.264,0.457,0.331,0.317,16,25,6,116,440,SD,OF,22,115,59,67,1,2,33,108,1,5,4,0.774
Nathaniel Lowe,663993,2617,0.216,0.373,0.301,0.292,16,17,2,95,440,WSH,1B,30,119,50,68,1,0,47,130,0,2,1,0.665
Dillon Dingler,693307,1801,0.278,0.425,0.326,0.327,13,21,2,121,435,DET,C,27,126,54,57,0,0,23,110,0,1,9,0.752
Mickey Moniak,666160,1602,0.27,0.518,0.348,0.306,24,20,8,117,434,COL,OF,27,135,62,68,9,3,22,110,0,3,2,0.824
Alex Bregman,608324,1961,0.273,0.462,0.356,0.36,18,28,0,118,433,BOS,3B,31,114,64,62,1,1,51,70,0,2,9,0.822
Alek Thomas,677950,1678,0.249,0.37,0.287,0.289,9,19,3,108,433,ARI,OF,25,143,51,38,7,4,21,122,6,4,5,0.659
Kerry Carpenter,681481,1737,0.252,0.497,0.335,0.291,26,18,5,109,433,DET,OF,28,130,66,62,1,1,18,106,0,2,7,0.788
Gabriel Arias,672356,1796,0.22,0.363,0.278,0.274,11,25,2,95,432,CLE,SS,25,129,44,54,8,4,27,162,1,4,7,0.637
Mark Vientos,668901,1766,0.233,0.413,0.303,0.289,17,21,2,99,424,NYM,3B,25,121,44,61,1,0,30,115,0,4,5,0.702
Logan O'Hoppe,681351,1758,0.213,0.371,0.273,0.258,19,8,1,90,423,LAA,C,25,119,35,43,2,1,24,139,1,1,2,0.629
Andrew Benintendi,643217,1729,0.24,0.431,0.317,0.307,20,16,2,101,420,CWS,OF,31,116,57,63,1,0,40,82,0,6,3,0.738
Nick Kurtz,701762,1965,0.29,0.619,0.419,0.383,36,26,2,122,420,ATH,1B,22,117,90,86,2,1,63,151,0,3,2,1.002
Jake Cronenworth,630105,2188,0.246,0.377,0.333,0.367,11,20,1,103,419,SD,2B,31,135,61,59,3,3,69,107,4,7,15,0.744
Wilmer Flores,527038,1922,0.241,0.379,0.302,0.307,16,10,0,101,419,SF,1B,34,125,44,71,1,0,34,88,0,3,7,0.686
Michael Conforto,624424,2052,0.199,0.333,0.287,0.305,12,20,0,83,418,LAD,OF,32,138,54,36,1,0,56,121,0,3,9,0.638
Javier Báez,595879,1544,0.257,0.398,0.293,0.282,12,17,3,107,417,DET,SS,33,126,55,57,5,1,10,109,0,3,6,0.68
Max Kepler,596146,1835,0.216,0.391,0.3,0.3,18,19,0,90,417,PHI,OF,32,127,58,52,3,0,48,93,1,4,4,0.691
Austin Riley,663586,1797,0.26,0.428,0.318,0.309,16,20,1,108,416,ATL,3B,28,102,54,54,2,1,27,128,0,1,3,0.737
Colt Keith,690993,1830,0.256,0.413,0.326,0.333,13,22,2,106,414,DET,3B,24,137,65,45,1,1,48,102,0,4,2,0.746
Chandler Simpson,802415,1518,0.295,0.345,0.296,0.326,0,15,3,122,414,TB,OF,25,109,53,26,44,12,20,43,3,2,0,0.671
Patrick Bailey,672275,1726,0.222,0.325,0.265,0.277,6,18,3,91,409,SF,C,26,135,47,55,1,0,30,133,4,6,3,0.602
Ryan Jeffers,680777,1886,0.266,0.397,0.333,0.356,9,26,0,108,406,MIN,C,28,119,47,47,1,1,50,91,0,1,7,0.753
Jake Mangum,663968,1442,0.296,0.368,0.307,0.33,3,18,1,120,405,TB,OF,29,118,37,40,27,6,19,64,1,1,2,0.698
Drake Baldwin,686948,1750,0.274,0.469,0.351,0.341,19,18,2,111,405,ATL,C,24,124,56,80,0,0,38,68,0,0,3,0.81
Carlos Narváez,665966,1830,0.241,0.419,0.315,0.306,15,27,0,97,403,BOS,C,27,118,51,50,1,1,38,111,2,2,1,0.725
Isiah Kiner-Falefa,643396,1632,0.264,0.332,0.279,0.3,1,20,2,106,401,PIT,SS,30,119,40,35,15,4,17,69,5,1,4,0.632
Austin Wells,669224,1797,0.219,0.436,0.302,0.275,21,22,1,88,401,NYY,C,26,126,51,71,5,1,30,118,0,11,5,0.711
Nolan Arenado,571448,1603,0.237,0.377,0.287,0.289,12,18,1,95,401,STL,3B,34,107,48,52,3,0,28,49,0,4,3,0.666
Kyle Stowers,669065,1724,0.288,0.544,0.386,0.368,25,21,3,115,399,MIA,OF,27,117,61,73,5,1,48,125,1,4,5,0.912
Jeff McNeil,643446,1733,0.243,0.411,0.324,0.335,12,21,5,97,399,NYM,2B,33,122,42,54,3,0,49,55,2,4,8,0.746
Victor Scott II,687363,1703,0.216,0.296,0.274,0.305,5,15,1,86,398,STL,OF,24,138,54,37,34,4,42,111,10,3,10,0.601
Carlos Santana,467793,1985,0.225,0.333,0.284,0.316,11,10,0,89,396,CLE,1B,39,116,49,52,7,0,52,86,0,4,3,0.649
Josh Lowe,666139,1847,0.22,0.366,0.284,0.283,11,21,2,87,396,TB,OF,27,108,56,40,18,4,33,109,1,2,3,0.649
Jonah Heim,641680,1704,0.213,0.332,0.266,0.271,11,14,0,84,395,TEX,C,30,124,38,43,3,0,32,88,1,4,1,0.603
Brett Baty,683146,1757,0.254,0.435,0.324,0.313,18,13,2,100,393,NYM,3B,26,130,53,50,8,0,33,108,0,3,2,0.748
Matt Shaw,807713,1722,0.226,0.394,0.3,0.295,13,21,3,89,393,CHC,3B,24,126,57,44,17,5,38,94,0,4,2,0.689
Tommy Pham,502054,1715,0.245,0.37,0.308,0.33,10,17,1,96,392,PIT,OF,37,120,44,52,5,3,50,94,0,5,2,0.7
Iván Herrera,671056,1813,0.284,0.464,0.365,0.373,19,13,0,110,388,STL,DH,25,107,54,66,8,2,43,84,0,4,15,0.837
Nathan Lukes,664770,1672,0.255,0.407,0.317,0.323,12,19,2,99,388,TOR,OF,31,135,55,65,2,4,38,60,7,3,2,0.73
Eugenio Suárez,553993,2619,0.248,0.576,0.347,0.32,36,19,0,96,387,ARI,3B,34,106,64,87,1,0,29,117,0,6,15,0.896
Luis Robert Jr.,673357,1538,0.223,0.364,0.289,0.297,14,12,0,85,382,CWS,OF,28,110,52,53,33,8,40,112,1,3,2,0.661
Jasson Domínguez,691176,1697,0.257,0.388,0.316,0.331,10,18,1,98,381,NYY,OF,22,123,58,47,23,5,41,115,0,4,3,0.719
Nick Gonzales,693304,1410,0.26,0.362,0.289,0.299,5,18,3,99,381,PIT,2B,26,96,39,30,0,2,21,73,0,4,2,0.661
Austin Hays,669720,1564,0.266,0.453,0.327,0.315,15,16,5,101,380,CIN,OF,30,103,60,64,7,0,29,107,0,6,1,0.768
Corey Seager,608369,1708,0.271,0.487,0.365,0.373,21,19,0,103,380,TEX,SS,31,102,61,50,3,0,58,87,0,2,5,0.86
Brandon Marsh,669016,1664,0.28,0.443,0.339,0.342,11,25,2,106,379,PHI,OF,27,133,59,43,7,1,38,110,3,4,0,0.785
Daniel Schneemann,682177,1670,0.206,0.354,0.28,0.283,12,18,1,78,379,CLE,2B,28,131,48,41,9,3,38,117,1,1,3,0.637
Isaac Paredes,670623,1944,0.254,0.458,0.353,0.352,20,15,1,96,378,HOU,3B,26,102,53,53,0,1,50,76,0,2,8,0.81
Tyler Freeman,671289,1647,0.281,0.361,0.319,0.354,2,20,2,106,377,COL,OF,26,110,50,31,18,9,34,51,2,4,11,0.715
Royce Lewis,668904,1518,0.237,0.388,0.292,0.283,13,18,0,89,376,MIN,3B,26,106,36,52,12,2,25,80,0,2,0,0.671
